id,city,name,address,neigborhood,zip,county,type,latitude,longitude
1885,Albany,STEWART'S SHOP #263,406 ALBANY-SHAKER  ROAD,LOUDONVILLE,12211,COLONIE,CONVENIENCE STORE,42.697484634000034,-73.76848598699996
1369,Glens Falls DO,DOLLAR GENERAL #15552,1 DOMINICK DRIVE,BALLSTON SPA,12020,BALLSTON,DISCOUNT STORE,43.00604878400003,-73.85154762699995
1932,Broome,KWIK FILL # A0034,200 HARRY L. DRIVE,JOHNSON CITY,13790,UNION,CONVENIENCE/GAS,42.12306182900005,-75.95522538899996
1272,NYC,CIRCLE 7 DELI CORP,1507 GRAVESEND ROAD,BROOKLYN,11229,NEW YORK CITY,GROCERY SUPERMARKET,40.60357610800003,-73.95443232699995
1941,Allegany,DOLLAR GENERAL STORE #9839,98 BOLIVAR ROAD,WELLSVILLE,14895,WELLSVILLE,DISCOUNT STORE,42.127926767000076,-77.96220802199997
1395,Glens Falls DO,CUMBERLAND FARMS # 1603,916 BROADWAY,WHITEHALL,12321,WHITEHALL,CONVENIENCE STORE,43.548388147000026,-73.40551023699999
1065,NYC,"HUDSON-NIA JFK T1, JV",NKA JFK INT AIRPORT T1,"JAMAICA, NY",7073,QUEENS,CONVENIENCE STORE,40.83358381000005,-74.09715940299998
1950,Chemung,DOLLAR GENERAL #10705 - 3164 LAKE ROAD,3164 LAKE ROAD,HORSEHEADS,14845,HORSEHEADS,CONVENIENCE STORE,42.14358408700008,-76.81459272399997
1943,Albany,STEWART'S SHOP #334,219 SANDCREEK ROAD,COLONIE,12205,COLONIE,CONVENIENCE STORE,42.697652471000026,-73.79176985399994
1685,Chemung,COLLEGE AVE CONVENIENT,1309 COLLEGE AVENUE,ELMIRA,14901,ELMIRA,CONVENIENCE STORE,42.109888967000074,-76.82003509299994
702,NYC,BEAT VALUE INC,18-13 COLLEGE POINT BOULEV,COLLEGE P,11356,QUEENS,GROCERY SUPERMARKET,40.78539624700005,-73.84346956299999
1801,Albany,MADISON MART,870 MADISON  AVENUE,ALBANY,12208,ALBANY,CONVENIENCE STORE,42.66113197100003,-73.78294143699998
1223,NYC,MW 59 CONVENIENCE STORE CORP,AUDUBON AVENUE,NEW YORK,10032,NEW YORK CITY,TOBACCO RETAIL,40.84118869000008,-73.93785357599995
1605,Watertown DO,FAMILY DOLLAR  #3876 (SEAWAY PLAZA),2206 US ROUTE 11,WATERTOWN,13601,WATERTOWN,DISCOUNT STORE,43.94899832400006,-75.91505234899995
1006,NYC,CHOUDHURY NABI,NWC EAST 14TH ST & 3RD AVENUE,NEW YORK,10003,MANHATTAN,STAND,40.73104979400006,-73.98887060499999
1250,NYC,"JFK AIR VENTURES 11, JV",1 JFK AIRPORT BOULEVARD,JAMICA,11430,QUEENS,STAND,40.66159926600005,-73.79262173199999
1403,Glens Falls DO,STEWART'S SHOP #295,WEST MILTON ROAD,MILTON,12020,BALLSTON,CONVENIENCE STORE,43.03763849400008,-73.92698049799998
1314,Geneva DO,TOOMEY'S EXPRESS,6600 ROUTES 5 & 20,BLOOMFIELD,14469,CANANDAIGUA,CONVENIENCE/GAS,42.90149285500007,-77.42207383899995
1798,Albany,MONTANA FOOD MARKET,17 WATERVLIET  AVENUE,ALBANY,12206,ALBANY,CONVENIENCE STORE,42.67556910300004,-73.78303534399998
1998,Cattaraugus,CROSBY'S,105 ROCK CITY ST.,LITTLE VALLEY,14755,LITTLE VAL.,CONVENIENCE STORE,42.24925995800004,-78.79861543099997
1598,Watertown DO,KRING'S  COUNTRY STORE,26101 KRING POINT ROAD,ALEXANDRIA BAY,13607,ALEXANDRIA,CONVENIENCE STORE,44.29046781200003,-75.98760172399994
1681,Broome,APPLE FOOD & GROCERY,306 CONKLIN AVENUE,BINGHAMTON,13905,BINGHAMTON,CONVENIENCE/GAS,42.096723336000025,-75.88802825499994
1066,NYC,"HUDSON GROUP HG RETAIL, LLC",89 GRAND CENTRAL STATION,"NEW YORK, NY",10017,MANHATTAN,CONVENIENCE STORE,40.75234426700007,-73.97402543299995
1804,Broome,APPLE FOOD AND GROCERY,522 HOOPER ROAD,ENDWELL,13760,UNION,CONVENIENCE/GAS,42.117975440000066,-76.01837983399997
1787,Cattaraugus,7-ELEVEN,183 W. MAIN ST.,ALLEGANY,14706,ALLEGANY,CONVENIENCE/GAS,42.094115799000065,-78.49985823699996
1650,Albany,STEWART'S SHOP #267,204 HENRY JOHNSON BOULEVARD,ALBANY,12210,ALBANY,CONVENIENCE/GAS,42.66343706300006,-73.75886916799993
1908,Broome,MIRABITO #3,3151 VESTAL PARKWAY,VESTAL,13850,VESTAL,CONVENIENCE/GAS,42.09610463000007,-76.00008382799996
1455,Hornell DO,NOCO EXPRESS S-203,2339 STATE ROUTE 63,WAYLAND,14572,WAYLAND,CONVENIENCE/GAS,42.563393476000044,-77.60250683199996
1484,Oneonta DO,SAL'S TRADITIONAL MEAT CENTER,51996 STATE ROUTE 10,BLOOMVILLE,13739,KORTRIGHT,GROCERY SUPERMARKET,42.33313179900006,-74.80663619699999
1365,Glens Falls DO,CLIFTON PARK SHORT STOP,2 CLIFTON PARK ROAD,CLIFTON PARK,12065,CLIFTON PARK,CONVENIENCE/GAS,42.866373949000035,-73.79525912799994
1335,Geneva DO,WAL-MART #1813 /NEWARK,6788  ROUTE 31,NEWARK,14514,ARCADIA,DISCOUNT STORE,43.053925606000064,-77.05838295399997
1517,Oneonta DO,QUICKWAY #24,GENESEE STREET,CHERRY VALLEY,13320,CHERRY VALLEY,CONVENIENCE/GAS,42.797763634000034,-74.75597226899998
1639,Albany,"MOBIL- CENTRAL AVENUE ENERGY, INC",1351 CENTRAL AVENUE,ALBANY,12205,COLONIE,CONVENIENCE/GAS,42.70355240200007,-73.81677055199998
1898,Albany,CUMBERLAND FARMS 1694,30 ONTARIO STREET,COHOES,12047,COHOES,CONVENIENCE/GAS,42.77220354100007,-73.68417970399997
1338,Geneva DO,THE STATION,3290  CANANDAIGUA  ROAD,WALWORTH,14568,WALWORTH,CONVENIENCE/GAS,43.12376179800003,-77.32093695399999
1483,Oneonta DO,QUICKWAY #18,MAIN STREET,HOBART,13788,STAMFORD,CONVENIENCE/GAS,42.37163511600005,-74.66969921799995
1979,Cattaraugus,DOLLAR GENERAL STORE #6383,5785 RT. 219,GREAT VALLEY,14741,GREAT VALLEY,DISCOUNT STORE,42.24986318300006,-78.64649133899997
1085,NYC,KIKO FOOD CENTER INC,1925 DR.M LUTHER KING  BOULEVARD,BRONX,10453,BRONX,CONVENIENCE STORE,40.85306047900008,-73.91032009699995
1677,Broome,ONE STOP GROCERY,283-285 FRONT STREET,BINGHAMTON,13905,BINGHAMTON,CONVENIENCE/GAS,42.108437793000064,-75.91457348599994
1126,NYC,GHM NORTHERN CORP,7611 JACKSON HEIGHTS,NEW YORK,11372,NEW YORK CITY,GROCERY SUPERMARKET,40.75198399400006,-73.88331056899995
